date,mr,y
2025-02-19,50.0,1.0
2025-02-19,50.0,1.0
2025-02-19,50.0,1.0
2025-02-20,50.0,1.0
2025-02-20,50.0,1.0
2025-02-20,50.0,1.0
2025-02-21,50.0,1.0
2025-02-21,50.0,1.0
2025-02-21,50.0,1.0
2025-02-22,50.0,1.0
2025-02-22,50.0,1.0
2025-02-22,50.0,1.0
2025-02-23,15.0,1.0
2025-02-23,15.0,1.0
2025-02-23,15.0,1.0
2025-02-24,15.0,1.0
2025-02-24,15.0,1.0
2025-02-24,15.0,1.0
2025-02-25,50.0,1.0
2025-02-25,50.0,1.0
2025-02-25,50.0,1.0
2025-02-26,50.0,1.0
2025-02-26,50.0,1.0
2025-02-26,50.0,1.0
2025-02-27,50.0,1.0
2025-02-27,50.0,1.0
2025-02-27,50.0,1.0
2025-02-28,50.0,1.0
2025-02-28,50.0,1.0
2025-02-28,50.0,1.0
2025-03-01,50.0,1.0
2025-03-01,50.0,1.0
2025-03-01,50.0,1.0
2025-03-02,50.0,1.0
2025-03-02,50.0,1.0
2025-03-02,50.0,1.0
2025-03-03,50.0,1.0
2025-03-03,50.0,1.0
2025-03-03,50.0,1.0
2025-03-04,50.0,1.0
2025-03-04,50.0,1.0
2025-03-04,50.0,1.0
2025-03-05,50.0,1.0
2025-03-05,50.0,1.0
2025-03-05,50.0,1.0
2025-03-06,50.0,1.0
2025-03-06,50.0,1.0
2025-03-06,50.0,1.0
2025-03-07,50.0,1.0
2025-03-07,50.0,1.0
2025-03-07,50.0,1.0
2025-03-08,50.0,1.0
2025-03-08,50.0,1.0
2025-03-08,50.0,1.0
2025-03-09,50.0,1.0
2025-03-09,50.0,1.0
2025-03-09,50.0,1.0
2025-03-10,50.0,1.0
2025-03-10,50.0,1.0
2025-03-10,50.0,1.0
2025-03-11,50.0,1.0
2025-03-11,50.0,1.0
2025-03-11,50.0,1.0
2025-03-12,50.0,1.0
2025-03-12,50.0,1.0
2025-03-12,50.0,1.0
2025-03-13,50.0,1.0
2025-03-13,50.0,1.0
2025-03-13,50.0,1.0
2025-03-14,50.0,1.0
2025-03-14,50.0,1.0
2025-03-14,50.0,1.0
2025-03-15,50.0,1.0
2025-03-15,50.0,1.0
2025-03-15,50.0,1.0
2025-03-16,50.0,1.0
2025-03-16,50.0,1.0
2025-03-16,50.0,1.0
2025-03-17,50.0,1.0
2025-03-17,50.0,1.0
2025-03-17,50.0,1.0
2025-03-18,50.0,1.0
2025-03-18,50.0,1.0
2025-03-18,50.0,1.0
2025-03-19,50.0,1.0
2025-03-19,50.0,1.0
2025-03-19,50.0,1.0
2025-03-20,50.0,1.0
2025-03-20,50.0,1.0
2025-03-20,50.0,1.0
2025-03-21,50.0,1.0
2025-03-21,50.0,1.0
2025-03-21,50.0,1.0
2025-03-22,50.0,1.0
2025-03-22,50.0,1.0
2025-03-22,50.0,1.0
2025-03-23,50.0,1.0
2025-03-23,50.0,1.0
2025-03-23,50.0,1.0
2025-03-24,50.0,1.0
2025-03-24,50.0,1.0
2025-03-24,50.0,1.0
2025-03-25,50.0,1.0
2025-03-25,50.0,1.0
2025-03-25,50.0,1.0
2025-03-26,50.0,1.0
2025-03-26,50.0,1.0
2025-03-26,50.0,1.0
2025-03-27,50.0,1.0
2025-03-27,50.0,1.0
2025-03-27,50.0,1.0
2025-03-28,50.0,1.0
2025-03-28,50.0,1.0
2025-03-28,50.0,1.0
2025-03-29,50.0,1.0
2025-03-29,50.0,1.0
2025-03-29,50.0,1.0
2025-03-30,50.0,1.0
2025-03-30,50.0,1.0
2025-03-30,50.0,1.0
2025-03-31,50.0,1.0
2025-03-31,50.0,1.0
2025-03-31,50.0,1.0
2025-04-01,50.0,1.0
2025-04-01,50.0,1.0
2025-04-01,50.0,1.0
2025-04-02,50.0,1.0
2025-04-02,50.0,1.0
2025-04-02,50.0,1.0
2025-04-03,50.0,1.0
2025-04-03,50.0,1.0
2025-04-03,50.0,1.0
2025-04-04,50.0,1.0
2025-04-04,50.0,1.0
2025-04-04,50.0,1.0
2025-04-05,50.0,1.0
2025-04-05,50.0,1.0
2025-04-05,50.0,1.0
2025-04-06,50.0,1.0
2025-04-06,50.0,1.0
2025-04-06,50.0,1.0
2025-04-07,50.0,1.0
2025-04-07,50.0,1.0
2025-04-07,50.0,1.0
2025-04-08,50.0,1.0
2025-04-08,50.0,1.0
2025-04-08,50.0,1.0
2025-04-09,50.0,1.0
2025-04-09,50.0,1.0
2025-04-09,50.0,1.0
2025-04-10,50.0,1.0
2025-04-10,50.0,1.0
2025-04-10,50.0,1.0
2025-04-11,50.0,1.0
2025-04-11,50.0,1.0
2025-04-11,50.0,1.0
2025-04-12,50.0,1.0
2025-04-12,50.0,1.0
2025-04-12,50.0,1.0
2025-04-13,50.0,1.0
2025-04-13,50.0,1.0
2025-04-13,50.0,1.0
2025-04-14,50.0,1.0
2025-04-14,50.0,1.0
2025-04-14,50.0,1.0
2025-04-15,50.0,1.0
2025-04-15,50.0,1.0
2025-04-15,50.0,1.0
2025-04-16,50.0,1.0
2025-04-16,50.0,1.0
2025-04-16,50.0,1.0
2025-04-17,50.0,1.0
2025-04-17,50.0,1.0
2025-04-17,50.0,1.0
2025-04-18,50.0,1.0
2025-04-18,50.0,1.0
2025-04-18,50.0,1.0
2025-04-19,50.0,1.0
2025-04-19,50.0,1.0
2025-04-19,50.0,1.0
2025-04-20,50.0,1.0
2025-04-20,50.0,1.0
2025-04-20,50.0,1.0
2025-04-21,50.0,1.0
2025-04-21,50.0,1.0
2025-04-21,50.0,1.0
2025-04-22,50.0,1.0
2025-04-22,50.0,1.0
2025-04-22,50.0,1.0
2025-04-23,50.0,1.0
2025-04-23,50.0,1.0
2025-04-23,50.0,1.0
2025-04-24,50.0,1.0
2025-04-24,50.0,1.0
2025-04-24,50.0,1.0
2025-04-25,50.0,1.0
2025-04-25,50.0,1.0
2025-04-25,50.0,1.0
2025-04-26,50.0,1.0
2025-04-26,50.0,1.0
2025-04-26,50.0,1.0
2025-04-27,50.0,1.0
2025-04-27,50.0,1.0
2025-04-27,50.0,1.0
2025-04-28,50.0,1.0
2025-04-28,50.0,1.0
2025-04-28,50.0,1.0
2025-04-29,50.0,1.0
2025-04-29,50.0,1.0
2025-04-29,50.0,1.0
2025-04-30,50.0,1.0
2025-04-30,50.0,1.0
2025-04-30,50.0,1.0
2025-05-01,50.0,1.0
2025-05-01,50.0,1.0
2025-05-01,50.0,1.0
2025-05-02,50.0,1.0
2025-05-02,50.0,1.0
2025-05-02,50.0,1.0
2025-05-03,50.0,1.0
2025-05-03,50.0,1.0
2025-05-03,50.0,1.0
2025-05-04,50.0,1.0
2025-05-04,50.0,1.0
2025-05-04,50.0,1.0
2025-05-05,50.0,1.0
2025-05-05,50.0,1.0
2025-05-05,50.0,1.0
2025-05-06,50.0,1.0
2025-05-06,50.0,1.0
2025-05-06,50.0,1.0
2025-05-07,50.0,1.0
2025-05-07,50.0,1.0
2025-05-07,50.0,1.0
2025-05-08,50.0,1.0
2025-05-08,50.0,1.0
2025-05-08,50.0,1.0
2025-05-09,50.0,1.0
2025-05-09,50.0,1.0
2025-05-09,50.0,1.0
2025-05-10,50.0,1.0
2025-05-10,50.0,1.0
2025-05-10,50.0,1.0
2025-05-11,50.0,1.0
2025-05-11,50.0,1.0
2025-05-11,50.0,1.0
2025-05-12,50.0,1.0
2025-05-12,50.0,1.0
2025-05-12,50.0,1.0
2025-05-13,50.0,1.0
2025-05-13,50.0,1.0
2025-05-13,50.0,1.0
2025-05-14,50.0,1.0
2025-05-14,50.0,1.0
2025-05-14,50.0,1.0
2025-05-15,50.0,1.0
2025-05-15,50.0,1.0
2025-05-15,50.0,1.0
2025-05-16,50.0,1.0
2025-05-16,50.0,1.0
2025-05-16,50.0,1.0
2025-05-17,50.0,1.0
2025-05-17,50.0,1.0
2025-05-17,50.0,1.0
2025-05-18,50.0,1.0
2025-05-18,50.0,1.0
2025-05-18,50.0,1.0
2025-05-19,50.0,1.0
2025-05-19,50.0,1.0
2025-05-19,50.0,1.0
2025-05-20,50.0,1.0
2025-05-20,50.0,1.0
2025-05-20,50.0,1.0
2025-05-21,50.0,1.0
2025-05-21,50.0,1.0
2025-05-21,50.0,1.0
2025-05-22,50.0,1.0
2025-05-22,50.0,1.0
2025-05-22,50.0,1.0
2025-05-23,50.0,1.0
2025-05-23,50.0,1.0
2025-05-23,50.0,1.0
2025-05-24,50.0,1.0
2025-05-24,50.0,1.0
2025-05-24,50.0,1.0
2025-05-25,50.0,1.0
2025-05-25,50.0,1.0
2025-05-25,50.0,1.0
2025-05-26,50.0,1.0
2025-05-26,50.0,1.0
2025-05-26,50.0,1.0
2025-05-27,50.0,1.0
2025-05-27,50.0,1.0
2025-05-27,50.0,1.0
2025-05-28,50.0,1.0
2025-05-28,50.0,1.0
2025-05-28,50.0,1.0
2025-05-29,50.0,1.0
2025-05-29,50.0,1.0
2025-05-29,50.0,1.0
2025-05-30,50.0,1.0
2025-05-30,50.0,1.0
2025-05-30,50.0,1.0
2025-05-31,50.0,1.0
2025-05-31,50.0,1.0
2025-05-31,50.0,1.0
2025-06-01,50.0,1.0
2025-06-01,50.0,1.0
2025-06-01,50.0,1.0
2025-06-02,50.0,1.0
2025-06-02,50.0,1.0
2025-06-02,50.0,1.0
2025-06-03,50.0,1.0
2025-06-03,50.0,1.0
2025-06-03,50.0,1.0
2025-06-04,50.0,1.0
2025-06-04,50.0,1.0
2025-06-04,50.0,1.0
2025-06-05,50.0,1.0
2025-06-05,50.0,1.0
2025-06-05,50.0,1.0
2025-06-06,50.0,1.0
2025-06-06,50.0,1.0
2025-06-06,50.0,1.0
2025-06-07,50.0,1.0
2025-06-07,50.0,1.0
2025-06-07,50.0,1.0
2025-06-08,50.0,1.0
2025-06-08,50.0,1.0
2025-06-08,50.0,1.0
2025-06-09,50.0,1.0
2025-06-09,50.0,1.0
2025-06-09,50.0,1.0
2025-06-10,50.0,1.0
2025-06-10,50.0,1.0
2025-06-10,50.0,1.0
2025-06-11,50.0,1.0
2025-06-11,50.0,1.0
2025-06-11,50.0,1.0
2025-06-12,50.0,1.0
2025-06-12,50.0,1.0
2025-06-12,50.0,1.0
2025-06-13,50.0,1.0
2025-06-13,50.0,1.0
2025-06-13,50.0,1.0
2025-06-14,50.0,1.0
2025-06-14,50.0,1.0
2025-06-14,50.0,1.0
2025-06-15,50.0,1.0
2025-06-15,50.0,1.0
2025-06-15,50.0,1.0
2025-06-16,50.0,1.0
2025-06-16,50.0,1.0
2025-06-16,50.0,1.0
2025-06-17,50.0,1.0
2025-06-17,50.0,1.0
2025-06-17,50.0,1.0
2025-06-18,50.0,1.0
2025-06-18,50.0,1.0
2025-06-18,50.0,1.0
2025-06-19,50.0,1.0
2025-06-19,50.0,1.0
2025-06-19,50.0,1.0
2025-06-20,50.0,1.0
2025-06-20,50.0,1.0
2025-06-20,50.0,1.0
2025-06-21,50.0,1.0
2025-06-21,50.0,1.0
2025-06-21,50.0,1.0
2025-06-22,50.0,1.0
2025-06-22,50.0,1.0
2025-06-22,50.0,1.0
2025-06-23,50.0,1.0
2025-06-23,50.0,1.0
2025-06-23,50.0,1.0
2025-06-24,50.0,1.0
2025-06-24,50.0,1.0
2025-06-24,50.0,1.0
2025-06-25,50.0,1.0
2025-06-25,50.0,1.0
2025-06-25,50.0,1.0
2025-06-26,50.0,1.0
2025-06-26,50.0,1.0
2025-06-26,50.0,1.0
2025-06-27,50.0,1.0
2025-06-27,50.0,1.0
2025-06-27,50.0,1.0
2025-06-28,50.0,1.0
2025-06-28,50.0,1.0
2025-06-28,50.0,1.0
2025-06-29,50.0,1.0
2025-06-29,50.0,1.0
2025-06-29,50.0,1.0
2025-06-30,50.0,1.0
2025-06-30,50.0,1.0
2025-06-30,50.0,1.0
2025-07-01,50.0,1.0
2025-07-01,50.0,1.0
2025-07-01,50.0,1.0
2025-07-02,50.0,1.0
2025-07-02,50.0,1.0
2025-07-02,50.0,1.0
2025-07-03,50.0,1.0
2025-07-03,50.0,1.0
2025-07-03,50.0,1.0
2025-07-04,50.0,1.0
2025-07-04,50.0,1.0
2025-07-04,50.0,1.0
2025-07-05,50.0,1.0
2025-07-05,50.0,1.0
2025-07-05,50.0,1.0
2025-07-06,50.0,1.0
2025-07-06,50.0,1.0
2025-07-06,50.0,1.0
2025-07-07,50.0,1.0
2025-07-07,50.0,1.0
2025-07-07,50.0,1.0
2025-07-08,50.0,1.0
2025-07-08,50.0,1.0
2025-07-08,50.0,1.0
2025-07-09,50.0,1.0
2025-07-09,50.0,1.0
2025-07-09,50.0,1.0
2025-07-10,50.0,1.0
2025-07-10,50.0,1.0
2025-07-10,50.0,1.0
2025-07-11,50.0,1.0
2025-07-11,50.0,1.0
2025-07-11,50.0,1.0
2025-07-12,50.0,1.0
2025-07-12,50.0,1.0
2025-07-12,50.0,1.0
2025-07-13,50.0,1.0
2025-07-13,50.0,1.0
2025-07-13,50.0,1.0
2025-07-14,50.0,1.0
2025-07-14,50.0,1.0
2025-07-14,50.0,1.0
2025-07-15,50.0,1.0
2025-07-15,50.0,1.0
2025-07-15,50.0,1.0
2025-07-16,50.0,1.0
2025-07-16,50.0,1.0
2025-07-16,50.0,1.0
2025-07-17,50.0,1.0
2025-07-17,50.0,1.0
2025-07-17,50.0,1.0
2025-07-18,50.0,1.0
2025-07-18,50.0,1.0
2025-07-18,50.0,1.0
2025-07-19,50.0,1.0
2025-07-19,50.0,1.0
2025-07-19,50.0,1.0
2025-07-20,50.0,1.0
2025-07-20,50.0,1.0
2025-07-20,50.0,1.0
2025-07-21,50.0,1.0
2025-07-21,50.0,1.0
2025-07-21,50.0,1.0
2025-07-22,50.0,1.0
2025-07-22,50.0,1.0
2025-07-22,50.0,1.0
2025-07-23,50.0,1.0
2025-07-23,50.0,1.0
2025-07-23,50.0,1.0
2025-07-24,50.0,1.0
2025-07-24,50.0,1.0
2025-07-24,50.0,1.0
2025-07-25,50.0,1.0
2025-07-25,50.0,1.0
2025-07-25,50.0,1.0
2025-07-26,50.0,1.0
2025-07-26,50.0,1.0
2025-07-26,50.0,1.0
2025-07-27,50.0,1.0
2025-07-27,50.0,1.0
2025-07-27,50.0,1.0
2025-07-28,50.0,1.0
2025-07-28,50.0,1.0
2025-07-28,50.0,1.0
2025-07-29,50.0,1.0
2025-07-29,50.0,1.0
2025-07-29,50.0,1.0
2025-07-30,50.0,1.0
2025-07-30,50.0,1.0
2025-07-30,50.0,1.0
2025-07-31,50.0,1.0
2025-07-31,50.0,1.0
2025-07-31,50.0,1.0
2025-08-01,50.0,1.0
2025-08-01,50.0,1.0
2025-08-01,50.0,1.0
2025-08-02,50.0,1.0
2025-08-02,50.0,1.0
2025-08-02,50.0,1.0
2025-08-03,50.0,1.0
2025-08-03,50.0,1.0
2025-08-03,50.0,1.0
2025-08-04,50.0,1.0
2025-08-04,50.0,1.0
2025-08-04,50.0,1.0
2025-08-05,50.0,1.0
2025-08-05,50.0,1.0
2025-08-05,50.0,1.0
2025-08-06,50.0,1.0
2025-08-06,50.0,1.0
2025-08-06,50.0,1.0
2025-08-07,50.0,1.0
2025-08-07,50.0,1.0
2025-08-07,50.0,1.0
2025-08-08,50.0,1.0
2025-08-08,50.0,1.0
2025-08-08,50.0,1.0
2025-08-09,50.0,1.0
2025-08-09,50.0,1.0
2025-08-09,50.0,1.0
2025-08-10,50.0,1.0
2025-08-10,50.0,1.0
2025-08-10,50.0,1.0
2025-08-11,50.0,1.0
2025-08-11,50.0,1.0
2025-08-11,50.0,1.0
2025-08-12,50.0,1.0
2025-08-12,50.0,1.0
2025-08-12,50.0,1.0
2025-08-13,50.0,1.0
2025-08-13,50.0,1.0
2025-08-13,50.0,1.0
2025-08-14,50.0,1.0
2025-08-14,50.0,1.0
2025-08-14,50.0,1.0
2025-08-15,50.0,1.0
2025-08-15,50.0,1.0
2025-08-15,50.0,1.0
